#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Prefixes,Pick the correct spelling.,Disappear,Dissapear,Disapear,Disappeer,1
2,Suffixes,Which noun comes from dark?,Darkness,Darknes,Darkniss,Darkniess,1
3,Endings,Which spelling is correct?,Tripped,Triped,Trippd,Triped,1
4,Apostrophes,Pick the correct spelling.,Didn't,Didnt,Did'nt,Didnt',1
5,Prefixes,"Which means ""not tidy""?",Untidy,Intidy,Retidy,Tidy,1
6,Homophones,The knight rode a ____.,horse,hoarse,hors,horce,1
7,Suffixes,Which adjective comes from help?,Helpful,Helpfull,Helpfel,Helpfol,1
8,Endings,We are _______ outside.,skipping,skipingg,skippeng,skipinng,1
9,Plurals,Which plural is correct?,Families,Familys,Familyes,Familyses,1
10,Exception Words,Pick the correct spelling.,Imagine,Immagine,Imagin,Imagene,1
11,Prefixes,"Which means ""pack again""?",Repack,Reepack,Repak,Repackk,1
12,Homophones,Please _____ still.,stay,stey,stai,stae,1
13,Suffixes,Which person paints?,Painter,Paintor,Paintar,Paynter,1
14,Endings,Yesterday I ______ home.,hurried,hurryed,hurrid,hurryd,1
15,Exception Words,Choose the correct word.,Important,Importent,Importint,Importan,1
16,Prefixes,"Which means ""not safe""?",Unsafe,Unsafee,Unsaf,Insafe,1
