#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Suffixes,Pick the correct spelling.,Happiest,Happyest,Happyiest,Hapiest,1
2,Homophones,I can ___ the bird.,see,sea,sei,cee,1
3,Prefixes,"Which means ""not fair""?",Unfair,Infair,Fair,Nofair,1
4,Contractions,Pick the correct spelling.,She's,Shes,"She,s",Shes',1
5,Plurals,Which means more than one baby?,Babies,Babys,Babyes,Babyses,1
6,Homophones,The ship is on the ___.,sea,see,sei,cee,1
7,Endings,Yesterday we ______ home.,walked,walktd,walket,walkid,1
8,Endings,We are _______ home.,walking,walkking,walkeing,walkinng,1
9,Exception Words,Choose the correct word.,People,Peeple,Peple,Peopel,1
10,Suffixes,"Which means ""full of hope""?",Hopeful,Hopefull,Hopful,Hopefel,1
11,Prefixes,"Which word means ""again""?",Replay,Unplay,Misplay,Inplay,1
12,Homophones,I ___ my lunch.,ate,eit,ate,ete,1
13,Endings,We are _______ outside.,hiking,hikeing,hikking,hicking,1
14,Exception Words,Pick the correct spelling.,Beautiful,Beautifull,Beutiful,Beautifal,1
15,Suffixes,She is ________ today.,fearless,fearless,fearliss,fearlese,1
16,Prefixes,Pick the correct spelling.,Undo,Undoo,Unndo,Endo,1
