#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Prefixes,"Which word means ""not regular""?",Irregular,Inregular,Unregular,Irreguler,1
2,Suffixes,Which adjective comes from danger?,Dangerous,Dangerus,Dangerious,Dangeroues,1
3,Word Families,Which noun comes from inform?,Information,Informasion,Informashun,Informtion,1
4,Apostrophes,Which shows one child's toy?,Child's,Childs,Childs',Child's',1
5,Endings,Pick the correct spelling.,Preferred,Prefered,Preferrd,Preferrd,1
6,Homophones,"Which word means ""completed""?",Done,Dun,Don,Doan,1
7,Prefixes,"Which word means ""against pollution""?",Anti-pollution,Anti-polution,Antipollution,Ante-pollution,1
8,Suffixes,Which adjective comes from fame?,Famous,Fameous,Famus,Fameus,1
9,Endings,Pick the correct spelling.,Whispering,Whisperring,Whisperringg,Whisperng,1
10,Plurals,Which plural is correct?,Potatoes,Potatos,Potatos,Potatose,1
11,Apostrophes,Which shows the girls' team?,Girls',Girl's,Girls,Girls's,1
12,Word Families,Which noun comes from celebrate?,Celebration,Celebrasion,Celebrashun,Celebratoin,1
13,Prefixes,"Which word means ""pay before""?",Prepay,Preepay,Prepai,Prepae,1
14,Endings,Pick the correct spelling.,Admitted,Admited,Admitted,Admitid,1
15,Exception Words,Pick the correct spelling.,Frequently,Frequentley,Frequenly,Frequentlly,1
16,Suffixes,Which adjective comes from poison?,Poisonous,Poisonus,Poisonious,Poisonoues,1
