#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Vocabulary,Which means exhausted?,Very tired,Very happy,Very noisy,Very hungry,1
2,Vocabulary in Context,The path was steep. What does steep mean?,Very sloping,Very wide,Very flat,Very smooth,1
3,Inference,Ben checked the sky before leaving. Why?,He expected rain.,He was hungry.,He was late.,He was bored.,1
4,Cause & Effect,The candle blew out. What happened?,The flame went out.,It grew brighter.,It melted faster.,It became larger.,1
5,Main Idea,"Mia packed, checked her ticket and left.",Preparing to travel,Going to bed,Baking a cake,Playing football,1
6,Prediction,The river kept rising all day. What may happen?,It may flood.,It may freeze.,It may dry up.,It may disappear.,1
7,Feelings,Sam hid behind Mum. How felt?,Nervous,Proud,Relaxed,Excited,1
8,Vocabulary,Which means ancient?,Very old,Very new,Very clean,Very tall,1
9,Compare,Which is lightest?,Feather,Brick,Table,Bicycle,1
10,Sequence,"What happens last? Mix, bake, cool.",Cool,Mix,Bake,Taste,1
11,Word Meaning,Which means protect?,Keep safe,Throw away,Give up,Break,1
12,Inference,Ava carried a map. Why?,She might get lost.,She was thirsty.,She felt sleepy.,She was cold.,1
13,Vocabulary in Context,The forest was silent. What does silent mean?,Very quiet,Very dark,Very crowded,Very bright,1
14,Main Idea,The children planted seeds and watered them.,Growing plants,Building houses,Feeding birds,Washing cars,1
15,Cause & Effect,The gate was locked. What couldn't they do?,Go inside,Eat lunch,Catch a bus,Read a book,1
16,Inference,Jack grabbed his towel and goggles. Where is he going?,Swimming,Shopping,Sleeping,Cycling,1
