#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Rhyming,Which rhymes with cake?,Snake,Book,Fish,Tree,1
2,Word Meaning,Which is a fruit?,Apple,Chair,Sock,Window,1
3,Sentence Sense,Which makes sense?,Birds can fly.,Birds can swim.,Birds can drive.,Birds can cook.,1
4,Following Instructions,"What do you do first? ""Sit, then clap.""",Sit,Clap,Jump,Wave,1
5,Vocabulary,Which means big?,Large,Tiny,Slow,Loud,1
6,Categories,Which is an animal?,Rabbit,Spoon,Pillow,Pencil,1
7,Sentence Meaning,Sam is wet. Why?,It rained.,He slept.,He ate.,He read.,1
8,Opposites,Which means the opposite of cold?,Hot,Wet,Dark,Loud,1
9,Following Instructions,"What comes last? ""Hop, wave, sit.""",Sit,Hop,Wave,Clap,1
10,Vocabulary,Which is a vehicle?,Bus,Apple,Coat,Tree,1
11,Sentence Sense,Which makes sense?,Fish live in water.,Fish live in trees.,Fish wear shoes.,Fish ride bikes.,1
12,Categories,Which belongs in a classroom?,Desk,Banana,Tiger,Pillow,1
13,Word Meaning,Which means fast?,Quick,Slow,Quiet,Heavy,1
14,Simple Inference,Ben is yawning. How feels?,Tired,Hungry,Angry,Excited,1
15,Sequence,"What comes next? Monday, Tuesday...",Wednesday,Friday,Sunday,Saturday,1
16,Sentence Meaning,The ice melted. What happened?,It got warm.,It got colder.,It grew bigger.,It turned blue.,1
