#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Word Meaning,Which means begin?,Start,Finish,Sleep,Hide,1
2,Categories,Which is a mammal?,Horse,Fish,Snake,Eagle,1
3,Sentence Meaning,Ben wore boots. Why?,It was muddy.,He was sleepy.,He was hungry.,He was reading.,1
4,Following Instructions,"Clap, jump, sit. What is second?",Jump,Clap,Sit,Wave,1
5,Opposites,Which means the opposite of empty?,Full,Open,Tall,Soft,1
6,Cause & Effect,Tom dropped a plate. What happened?,It broke.,It grew.,It melted.,It floated.,1
7,Categories,Which belongs in a kitchen?,Kettle,Pillow,Crayon,Helmet,1
8,Feelings,Mia smiled after winning. How felt?,Happy,Angry,Sleepy,Worried,1
9,Sequence,What comes after Tuesday?,Wednesday,Monday,Friday,Sunday,1
10,Word Meaning,Which means quiet?,Silent,Noisy,Bright,Fast,1
11,Main Idea,The dog chased a stick.,Playing,Sleeping,Reading,Eating,1
12,Categories,Which is used for writing?,Pencil,Plate,Pillow,Spoon,1
13,Simple Inference,Ella carried an umbrella. Why?,It might rain.,She was cold.,She was tired.,She was late.,1
14,Word Meaning,Which means little?,Small,Huge,Heavy,Long,1
15,Following Instructions,"Read, draw, colour. What is last?",Colour,Read,Draw,Write,1
16,Prediction,The baby rubbed its eyes. What next?,Sleep,Run,Sing,Climb,1
