#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Word Meaning,Which means discover?,Find,Hide,Lose,Break,1
2,Vocabulary in Context,The cave was dark. What does dark mean?,No light,Very loud,Very hot,Full of water,1
3,Inference,Ben wore a coat and gloves. Why?,It was cold.,It was sunny.,He was swimming.,He was sleepy.,1
4,Cause & Effect,Lily watered the plant. What may happen?,It grows.,It melts.,It shrinks.,It disappears.,1
5,Sequence,"What comes next? Morning, afternoon...",Evening,Breakfast,Monday,Summer,1
6,Main Idea,Tom fed the ducks at the pond.,Feeding ducks,Going shopping,Playing football,Visiting school,1
7,Feelings,Ava lost her favourite toy. How felt?,Upset,Proud,Excited,Relaxed,1
8,Categories,Which belongs in a library?,Book,Frying pan,Toothbrush,Football,1
9,Vocabulary,Which means reply?,Answer,Ask,Forget,Hide,1
10,Following Instructions,"Draw, colour, cut. What comes before cut?",Colour,Draw,Glue,Write,1
11,Prediction,The wind blew the leaves. What might happen?,They scatter.,They freeze.,They hatch.,They melt.,1
12,Sentence Meaning,The rabbit escaped the fox. What happened?,It got away.,It was caught.,It fell asleep.,It found food.,1
13,Word Meaning,Which means carefully?,With care,Very fast,Very loudly,Without looking,1
14,Compare,Which is heaviest?,Elephant,Rabbit,Cat,Mouse,1
15,Simple Inference,Mum carried a wrapped box. Why?,It's a gift.,It's lunch.,It's homework.,It's washing.,1
16,Vocabulary in Context,The path was narrow. What does narrow mean?,Not wide,Very long,Very rough,Very dark,1
