#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,Which rock is formed from cooled lava?,Igneous,Sedimentary,Metamorphic,Chalk,1
2,Physical,Which rock is made from layers of sediment?,Sedimentary,Igneous,Metamorphic,Marble,1
3,Physical,What is soil made from?,Rock and organic matter,Sand only,Water only,Clay only,1
4,Physical,Which material is attracted to a magnet?,Iron,Wood,Plastic,Glass,1
5,Physical,Which object is magnetic?,Steel nail,Wooden ruler,Plastic spoon,Glass bottle,1
6,Physical,What do magnets have?,North and south poles,Two north poles,Two south poles,One pole,1
7,Physical,What happens when opposite poles meet?,They attract.,They repel.,Nothing happens.,They melt.,1
8,Physical,What happens when like poles meet?,They repel.,They attract.,They stick forever.,They disappear.,1
9,Physical,What is the main source of light?,The Sun,The Moon,The Earth,The stars,1
10,Physical,Which object gives off its own light?,Torch,Mirror,Moon,Book,1
11,Physical,Why do we see shadows?,Light is blocked.,Light gets brighter.,The Sun moves.,Air becomes dark.,1
12,Physical,Which object reflects light?,Mirror,Brick,Paper,Sponge,1
13,Physical,Which material is transparent?,Glass,Wood,Stone,Cardboard,1
14,Physical,Which material is opaque?,Brick,Glass,Water,Clear plastic,1
15,Physical,What makes an object move?,A force,A shadow,A sound,A reflection,1
16,Physical,Which is an example of a force?,Push,Colour,Light,Shape,1
