#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,Which material is best for a raincoat?,Plastic,Paper,Wool,Cardboard,1
2,Physical,Why is glass used for windows?,It is transparent.,It is soft.,It is rough.,It is stretchy.,1
3,Physical,Which material is best for a towel?,Cotton,Glass,Metal,Plastic,1
4,Physical,Which material is best for a saucepan?,Metal,Paper,Wool,Rubber,1
5,Physical,Which material is absorbent?,Sponge,Glass,Plastic,Metal,1
6,Physical,Which material is waterproof?,Plastic,Paper,Fabric,Cardboard,1
7,Physical,Which material is easiest to bend?,Rubber,Glass,Brick,Stone,1
8,Physical,Which material is strongest?,Steel,Paper,Cotton,Wool,1
9,Physical,Why are tyres made from rubber?,It is flexible.,It is transparent.,It is absorbent.,It is brittle.,1
10,Physical,Which material is used to make bricks?,Clay,Glass,Wool,Paper,1
11,Physical,Which material is best for a drinking bottle?,Plastic,Paper,Cardboard,Fabric,1
12,Physical,Which material is shiny?,Metal,Wood,Fabric,Paper,1
13,Physical,Which material is best for keeping warm?,Wool,Glass,Metal,Stone,1
14,Physical,Which object is usually made from ceramic?,Mug,Towel,Book,Balloon,1
15,Physical,Which material is most likely to float?,Wood,Brick,Metal,Glass,1
16,Physical,Why is wood used for furniture?,It is strong.,It is transparent.,It is stretchy.,It is absorbent.,1
