#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,Which material is the best electrical conductor?,Copper,Rubber,Plastic,Wood,1
2,Physical,Which material is an electrical insulator?,Rubber,Copper,Aluminium,Iron,1
3,Physical,What is needed to light a bulb?,A complete circuit,An open circuit,A magnet,A mirror,1
4,Physical,What happens in an open circuit?,The bulb stays off.,The bulb lights up.,The battery gets bigger.,The wire melts.,1
5,Physical,Which component provides electrical energy?,Battery,Bulb,Switch,Wire,1
6,Physical,What does a switch do?,Opens and closes a circuit,Makes electricity,Stores electricity,Stops the battery working,1
7,Physical,Which symbol is used for a bulb in a circuit diagram?,Circle with a cross,Straight line,Rectangle,Triangle,1
8,Physical,Which object uses electricity to work?,Lamp,Book,Pencil,Chair,1
9,Physical,Why do we see objects?,They reflect light.,They make sound.,They create gravity.,They attract magnets.,1
10,Physical,Which object reflects the most light?,Mirror,Carpet,Cardboard,Fabric,1
11,Physical,What happens when light passes through a prism?,It separates into colours.,It disappears.,It becomes sound.,It becomes heat.,1
12,Physical,Which colour is not in a rainbow?,Pink,Red,Blue,Green,1
13,Physical,Why do shadows change size?,The light source moves.,The object changes colour.,The air gets colder.,Gravity changes.,1
14,Physical,Which appliance uses the most electricity?,Electric oven,Torch,Clock,Radio,1
15,Physical,What happens if a battery is removed from a circuit?,The circuit stops working.,The bulb gets brighter.,The wires melt.,The switch breaks.,1
16,Physical,Which material is best for electrical wires?,Copper,Rubber,Glass,Wood,1
