#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,Which state of matter keeps its own shape?,Solid,Liquid,Gas,Steam,1
2,Physical,Which state of matter takes the shape of its container?,Liquid,Solid,Gas,Ice,1
3,Physical,Which state of matter spreads to fill a space?,Gas,Solid,Liquid,Ice,1
4,Physical,What is melting?,A solid becomes a liquid.,A liquid becomes a gas.,A gas becomes a liquid.,A liquid becomes a solid.,1
5,Physical,What is freezing?,A liquid becomes a solid.,A solid becomes a liquid.,A gas becomes a liquid.,A solid becomes a gas.,1
6,Physical,What is evaporation?,A liquid becomes a gas.,A gas becomes a liquid.,A solid becomes a liquid.,A gas becomes a solid.,1
7,Physical,What is condensation?,A gas becomes a liquid.,A liquid becomes a gas.,A solid becomes a liquid.,A liquid becomes a solid.,1
8,Physical,What causes sound?,Vibrations,Light,Heat,Magnets,1
9,Physical,Can sound travel through air?,Yes,No,Only at night,Only in wind,1
10,Physical,Which material absorbs sound well?,Carpet,Metal,Glass,Tile,1
11,Physical,Which material reflects sound well?,Metal,Carpet,Foam,Fabric,1
12,Physical,What happens as you move away from a sound?,It becomes quieter.,It becomes louder.,It stops moving.,Its pitch changes.,1
13,Physical,Which state of matter can be poured?,Liquid,Solid,Gas,Stone,1
14,Physical,What happens to water when it freezes?,It becomes ice.,It becomes steam.,It disappears.,It becomes air.,1
15,Physical,Which state of matter has no fixed shape?,Gas,Solid,Ice,Rock,1
16,Physical,Which state of matter has a fixed shape and volume?,Solid,Liquid,Gas,Steam,1
