#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,Which material is a window made from?,Glass,Wood,Fabric,Paper,1
2,Physical,Which material is a book made from?,Paper,Metal,Glass,Stone,1
3,Physical,Which material is a spoon often made from?,Metal,Paper,Fabric,Wood,1
4,Physical,Which material is a woolly hat made from?,Wool,Glass,Metal,Stone,1
5,Physical,Which material is waterproof?,Plastic,Paper,Cardboard,Fabric,1
6,Physical,Which material is transparent?,Glass,Wood,Brick,Metal,1
7,Physical,Which material is soft?,Cotton,Stone,Metal,Glass,1
8,Physical,Which material is hard?,Rock,Sponge,Cotton,Wool,1
9,Physical,Which material is flexible?,Rubber,Glass,Brick,Stone,1
10,Physical,Which object is made from wood?,Table,Bottle,Spoon,Window,1
11,Physical,Which object is made from metal?,Key,Towel,Book,Cushion,1
12,Physical,Which object is made from fabric?,T-shirt,Plate,Cup,Brick,1
13,Physical,Which material can break easily?,Glass,Rubber,Wool,Plastic,1
14,Physical,Which material keeps you warm?,Wool,Glass,Metal,Stone,1
15,Physical,Which material is used to make tyres?,Rubber,Paper,Glass,Wood,1
16,Physical,Which material is strongest?,Metal,Paper,Cotton,Wool,1
