#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,Why do humans need a skeleton?,To support the body,To digest food,To pump blood,To breathe,1
2,Living Things,What do muscles help you do?,Move,Hear,Smell,Taste,1
3,Living Things,Which nutrient helps your body grow?,Protein,Sugar,Salt,Water,1
4,Living Things,Which nutrient gives your body energy?,Carbohydrates,Vitamins,Water,Fibre,1
5,Living Things,Which part of a plant absorbs water?,Root,Stem,Leaf,Flower,1
6,Living Things,What carries water through a plant?,Stem,Root,Flower,Fruit,1
7,Living Things,Why do plants need leaves?,To make food,To absorb water,To hold roots,To make seeds,1
8,Living Things,Which animal has a backbone?,Horse,Spider,Snail,Earthworm,1
9,Living Things,Which animal does not have a backbone?,Spider,Dog,Bird,Fish,1
10,Living Things,What do plants need to make food?,Sunlight,Sand,Plastic,Metal,1
11,Living Things,Which part of a flower makes seeds?,Flower,Stem,Root,Leaf,1
12,Living Things,Why do animals need food?,To get energy,To grow taller only,To change colour,To sleep,1
13,Living Things,Which food is rich in protein?,Eggs,Sweets,Butter,Jam,1
14,Living Things,Which nutrient helps keep you healthy?,Vitamins,Sugar,Salt,Chocolate,1
15,Living Things,Which animal is a vertebrate?,Frog,Jellyfish,Snail,Worm,1
16,Living Things,What protects your brain?,Skull,Rib cage,Spine,Pelvis,1
