#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,What is the first stage of a butterfly's life cycle?,Egg,Caterpillar,Chrysalis,Butterfly,1
2,Living Things,Which animal changes through metamorphosis?,Butterfly,Dog,Horse,Penguin,1
3,Living Things,Which animal lays eggs?,Frog,Rabbit,Cat,Whale,1
4,Living Things,Which mammal lays eggs?,Platypus,Cow,Horse,Dolphin,1
5,Living Things,What is the process of producing young called?,Reproduction,Digestion,Respiration,Germination,1
6,Living Things,Which stage comes after childhood?,Adolescence,Adulthood,Old age,Infancy,1
7,Living Things,Which stage comes after adulthood?,Old age,Childhood,Infancy,Adolescence,1
8,Living Things,What helps flowering plants reproduce?,Pollination,Digestion,Germination,Photosynthesis,1
9,Living Things,Which insect is an important pollinator?,Bee,Ant,Beetle,Spider,1
10,Living Things,What happens after pollination?,Seeds begin to form,Leaves fall off,Roots stop growing,Flowers disappear,1
11,Living Things,Which part of a flower receives pollen?,Stigma,Petal,Leaf,Stem,1
12,Living Things,What grows from a seed?,A new plant,A flower,A root,A fruit,1
13,Living Things,Which life stage comes first?,Infancy,Childhood,Adolescence,Adulthood,1
14,Living Things,Which animal has a life cycle in water and on land?,Frog,Cat,Horse,Eagle,1
15,Living Things,What is the main purpose of seeds?,To grow new plants,To feed insects,To store water,To make flowers,1
16,Living Things,Which part of a flower attracts insects?,Petals,Roots,Stem,Leaves,1
