#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,What is the first part of the digestive system?,Mouth,Stomach,Small intestine,Large intestine,1
2,Living Things,Where does most digestion take place?,Small intestine,Mouth,Oesophagus,Large intestine,1
3,Living Things,What is the job of the stomach?,Break down food,Pump blood,Filter waste,Help you breathe,1
4,Living Things,Which teeth are used for biting?,Incisors,Molars,Canines,Premolars,1
5,Living Things,Which teeth are used for chewing?,Molars,Incisors,Canines,Wisdom teeth,1
6,Living Things,Which animal is a predator?,Owl,Mouse,Rabbit,Grasshopper,1
7,Living Things,Which animal is prey for an owl?,Mouse,Fox,Eagle,Hawk,1
8,Living Things,What is a producer in a food chain?,Plant,Rabbit,Fox,Hawk,1
9,Living Things,Which living thing makes its own food?,Plant,Dog,Fish,Bird,1
10,Living Things,What do all food chains begin with?,A plant,An animal,A fungus,A bird,1
11,Living Things,Why do animals need food?,To get energy,To change colour,To grow leaves,To make seeds,1
12,Living Things,Which group has feathers?,Birds,Mammals,Fish,Reptiles,1
13,Living Things,Which group has scales and gills?,Fish,Birds,Mammals,Amphibians,1
14,Living Things,Which group feeds milk to its young?,Mammals,Birds,Fish,Reptiles,1
15,Living Things,What is used to group living things?,Their features,Their colour,Their size,Their age,1
16,Living Things,Which animal is an amphibian?,Frog,Eagle,Whale,Lizard,1
