#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,Which of these is a mammal?,Dog,Fish,Snake,Frog,1
2,Living Things,Which part of a plant grows underground?,Root,Leaf,Flower,Stem,1
3,Living Things,Which part of a plant makes seeds?,Flower,Root,Stem,Leaf,1
4,Living Things,Which body part do you use to see?,Eyes,Ears,Nose,Hands,1
5,Living Things,Which body part do you use to hear?,Ears,Eyes,Mouth,Feet,1
6,Living Things,Which body part do you use to smell?,Nose,Eyes,Hands,Ears,1
7,Living Things,Which animal can fly?,Bird,Dog,Fish,Rabbit,1
8,Living Things,Which animal lives in water?,Fish,Horse,Cat,Sheep,1
9,Living Things,Which of these is a bird?,Robin,Frog,Snake,Rabbit,1
10,Living Things,Which of these is a tree?,Oak,Rose,Grass,Tulip,1
11,Living Things,Which part of a plant is usually green?,Leaf,Root,Flower,Seed,1
12,Living Things,Which of these is a wild animal?,Fox,Cow,Sheep,Chicken,1
13,Living Things,Which animal lays eggs?,Hen,Cat,Dog,Horse,1
14,Living Things,What do plants need to grow?,Water,Plastic,Metal,Glass,1
15,Living Things,Which of these is a plant?,Sunflower,Butterfly,Robin,Frog,1
16,Living Things,Which of these is a living thing?,Tree,Rock,Chair,Pencil,1
