#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,Who developed the theory of evolution?,Charles Darwin,Isaac Newton,Marie Curie,Albert Einstein,1
2,Living Things,What is evolution?,Gradual change over time,Daily growth,Plant reproduction,Animal movement,1
3,Living Things,What is an adaptation?,A feature that helps survival,A type of habitat,A food chain,A life cycle,1
4,Living Things,Why do polar bears have thick fur?,To keep warm,To swim faster,To climb trees,To find food,1
5,Living Things,What is inherited from parents?,Some characteristics,Favourite foods,Learned skills,Friendships,1
6,Living Things,Which feature is inherited?,Eye colour,Handwriting,Riding a bike,Speaking a language,1
7,Living Things,Why do living things produce offspring?,To continue their species,To grow taller,To find food,To change habitats,1
8,Living Things,Which scientist studied evolution?,Charles Darwin,Stephen Hawking,Galileo Galilei,Michael Faraday,1
9,Living Things,What do fossils tell us?,How living things changed,Tomorrow's weather,The age of mountains,Ocean depth,1
10,Living Things,Which animal is best adapted to the desert?,Camel,Penguin,Polar bear,Seal,1
11,Living Things,Which animal is best adapted to the Arctic?,Polar bear,Camel,Elephant,Kangaroo,1
12,Living Things,What is a microorganism?,A very small living thing,A large animal,A type of rock,A flowering plant,1
13,Living Things,Which of these is a microorganism?,Bacterium,Oak tree,Butterfly,Whale,1
14,Living Things,Why do birds have different beaks?,They eat different foods,They live in water,They have no feathers,They cannot fly,1
15,Living Things,Why do some animals blend into their surroundings?,To avoid predators,To breathe underwater,To grow faster,To sleep longer,1
16,Living Things,Which animal is adapted for climbing trees?,Monkey,Dolphin,Camel,Penguin,1
