#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,How many sides does a triangle have?,3,2,4,5,1
2,Geometry,How many sides does a square have?,4,3,5,6,1
3,Geometry,How many corners does a circle have?,0,1,2,4,1
4,Geometry,How many corners does a rectangle have?,4,3,5,2,1
5,Geometry,Which shape has three sides?,Triangle,Square,Circle,Rectangle,1
6,Geometry,Which shape has four equal sides?,Square,Rectangle,Triangle,Circle,1
7,Geometry,Which shape has no sides?,Circle,Triangle,Square,Rectangle,1
8,Geometry,Which shape has four sides?,Rectangle,Triangle,Circle,Sphere,1
9,Geometry,Which shape is a 3D shape?,Cube,Square,Circle,Triangle,1
10,Geometry,Which shape has one point?,Cone,Sphere,Cube,Cylinder,1
11,Geometry,Which shape has no corners?,Sphere,Cube,Cone,Cuboid,1
12,Geometry,Which shape has six square faces?,Cube,Sphere,Cylinder,Cone,1
13,Geometry,A triangle has how many corners?,3,2,4,5,1
14,Geometry,A square has how many sides?,4,3,5,2,1
15,Geometry,Which shape has one curved face?,Cylinder,Cube,Cuboid,Pyramid,1
16,Geometry,Which shape has one flat face and one point?,Cone,Sphere,Cube,Cylinder,1
