#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,Which angle is less than 90°?,Acute angle,Right angle,Obtuse angle,Straight angle,1
2,Geometry,Which angle is greater than 90°?,Obtuse angle,Acute angle,Right angle,Straight angle,1
3,Geometry,How many lines of symmetry does a square have?,4,2,1,8,1
4,Geometry,How many lines of symmetry does a rectangle have?,2,1,4,0,1
5,Geometry,Which shape has only one pair of parallel sides?,Trapezium,Square,Rectangle,Parallelogram,1
6,Geometry,Which shape has two pairs of parallel sides?,Parallelogram,Triangle,Trapezium,Pentagon,1
7,Geometry,Which shape always has four right angles?,Rectangle,Trapezium,Kite,Parallelogram,1
8,Geometry,Which shape always has four equal sides?,Square,Rectangle,Trapezium,Kite,1
9,Geometry,Which coordinate comes first?,x-coordinate,y-coordinate,Origin,Axis,1
10,Geometry,"What is the x-coordinate of (4, 7)?",4,7,11,3,1
11,Geometry,Which shape has one line of symmetry?,Isosceles triangle,Scalene triangle,Parallelogram,Trapezium,1
12,Geometry,How many right angles make a full turn?,4,2,3,1,1
13,Geometry,What is the perimeter of a square with sides of 9 cm?,36 cm,18 cm,27 cm,81 cm,1
14,Geometry,How many degrees are in a right angle?,90°,45°,180°,360°,1
15,Geometry,Which shape has exactly four sides?,Quadrilateral,Pentagon,Hexagon,Octagon,1
16,Geometry,Which shape has four equal sides and four right angles?,Square,Rectangle,Rhombus,Kite,1
