#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,How many sides does a pentagon have?,5,4,6,8,1
2,Geometry,How many sides does a hexagon have?,6,5,7,8,1
3,Geometry,How many corners does a hexagon have?,6,5,7,8,1
4,Geometry,Which shape has five sides?,Pentagon,Hexagon,Triangle,Square,1
5,Geometry,Which shape has six sides?,Hexagon,Pentagon,Rectangle,Triangle,1
6,Geometry,Which shape has four equal sides?,Square,Rectangle,Pentagon,Triangle,1
7,Geometry,Which shape has six faces?,Cube,Sphere,Cone,Cylinder,1
8,Geometry,Which shape has one curved face?,Sphere,Cube,Cuboid,Pyramid,1
9,Geometry,Which shape has two flat faces?,Cylinder,Cone,Sphere,Cube,1
10,Geometry,Which shape has no flat faces?,Sphere,Cube,Cone,Cylinder,1
11,Geometry,Which shape has eight corners?,Cube,Cone,Sphere,Cylinder,1
12,Geometry,Which shape has one flat face?,Cone,Sphere,Cube,Cylinder,1
13,Geometry,A hexagon has how many sides?,6,5,7,8,1
14,Geometry,A pentagon has how many corners?,5,4,6,8,1
15,Geometry,Which shape has the most sides?,Hexagon,Pentagon,Square,Triangle,1
16,Geometry,Which shape has fewer sides than a square?,Triangle,Rectangle,Pentagon,Hexagon,1
