#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,How many degrees are in a straight line?,180°,90°,270°,360°,1
2,Geometry,How many degrees are in a full turn?,360°,180°,90°,270°,1
3,Geometry,Which polygon has seven sides?,Heptagon,Hexagon,Octagon,Pentagon,1
4,Geometry,Which polygon has ten sides?,Decagon,Nonagon,Octagon,Pentagon,1
5,Geometry,What is a regular polygon?,All sides and angles are equal.,All sides are different.,It has four sides.,It has curved sides.,1
6,Geometry,Which shape is a regular polygon?,Regular hexagon,Rectangle,Trapezium,Kite,1
7,Geometry,Angles on a straight line add up to?,180°,90°,270°,360°,1
8,Geometry,Angles around a point add up to?,360°,180°,90°,270°,1
9,Geometry,"What is the y-coordinate of (6, 9)?",9,6,15,3,1
10,Geometry,Which shape has two pairs of equal sides?,Kite,Pentagon,Trapezium,Circle,1
11,Geometry,What is a reflection?,A flip,A slide,A turn,A stretch,1
12,Geometry,What is a translation?,A slide,A flip,A turn,A reflection,1
13,Geometry,How many lines of symmetry does a regular pentagon have?,5,4,2,1,1
14,Geometry,Which angle is exactly 90°?,Right angle,Acute angle,Obtuse angle,Reflex angle,1
15,Geometry,Which shape has only one pair of parallel sides?,Trapezium,Square,Rectangle,Parallelogram,1
16,Geometry,What is the perimeter of a square with sides of 12 cm?,48 cm,36 cm,24 cm,144 cm,1
