#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,How many sides does an octagon have?,8,6,7,10,1
2,Geometry,What is a right angle?,90°,45°,180°,360°,1
3,Geometry,Which shape has eight sides?,Octagon,Hexagon,Pentagon,Heptagon,1
4,Geometry,Which shape has one right angle?,Right-angled triangle,Circle,Pentagon,Oval,1
5,Geometry,Which shape has opposite sides that are equal?,Rectangle,Triangle,Pentagon,Circle,1
6,Geometry,Which shape has four equal sides?,Square,Rectangle,Trapezium,Triangle,1
7,Geometry,What is the perimeter of a square with sides of 5 cm?,20 cm,15 cm,10 cm,25 cm,1
8,Geometry,What is the perimeter of a rectangle with sides of 6 cm and 4 cm?,20 cm,24 cm,10 cm,18 cm,1
9,Geometry,Which lines never meet?,Parallel lines,Curved lines,Zigzag lines,Crossing lines,1
10,Geometry,What do perpendicular lines form?,Right angles,Curves,Circles,Triangles,1
11,Geometry,How many right angles does a square have?,4,2,1,3,1
12,Geometry,Which shape has six rectangular faces?,Cuboid,Cube,Sphere,Cone,1
13,Geometry,Which shape has one curved face and two flat faces?,Cylinder,Sphere,Cone,Cube,1
14,Geometry,Which shape has one curved face and one flat face?,Cone,Cylinder,Sphere,Cube,1
15,Geometry,How many edges does a cube have?,12,8,10,6,1
16,Geometry,How many faces does a cuboid have?,6,8,10,12,1
