#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,A laptop costs £480. You pay £325. How much is left to pay?,£155,£145,£165,£175,1
2,Reasoning,A train leaves at 9:35 a.m. and arrives 2 hours 25 minutes later. When does it arrive?,12:00 p.m.,11:50 a.m.,12:10 p.m.,11:55 a.m.,1
3,Reasoning,Eight boxes hold 24 books each. How many books are there?,192,184,196,188,1
4,Reasoning,A 2 kg bag is shared equally between 4 people. How much does each receive?,500 g,250 g,750 g,1 kg,1
5,Reasoning,A £60 jacket is reduced by 20%. What is the sale price?,£48,£50,£52,£40,1
6,Reasoning,A recipe serves 6 people. How many people do 4 recipes serve?,24,18,20,30,1
7,Reasoning,"Which number completes the pattern? 3, 6, 12, 24, __",48,36,42,54,1
8,Reasoning,A car travels 75 km each hour. How far does it travel in 6 hours?,450 km,425 km,475 km,400 km,1
9,Reasoning,Three-fifths of a class of 30 are present. How many pupils are present?,18,15,20,24,1
10,Reasoning,A water tank holds 800 L. It contains 475 L. How much more will fill it?,325 L,315 L,335 L,300 L,1
11,Reasoning,A runner completes 15 laps of 400 m. How far does the runner travel?,"6,000 m","5,600 m","6,400 m","5,800 m",1
12,Reasoning,A shop sells 245 pens on Monday and 368 on Tuesday. How many are sold?,613,603,623,593,1
13,Reasoning,A number is multiplied by 7 to make 84. What is the number?,12,14,11,13,1
14,Reasoning,A game costs £36. Ben and Mia share the cost equally. How much does each pay?,£18,£16,£20,£22,1
15,Reasoning,A packet has 48 cards. How many cards are in 5 packets?,240,230,250,220,1
16,Reasoning,"A school has 1,248 pupils. If 389 are absent, how many are present?",859,849,869,879,1
