#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,Mia has 125 stickers. She gives away 38. How many are left?,87,77,97,83,1
2,Reasoning,There are 8 boxes with 6 pencils in each. How many pencils are there?,48,42,54,56,1
3,Reasoning,36 apples are shared between 4 children. How many does each child get?,9,8,10,12,1
4,Reasoning,A book costs £7. You pay with £10. How much change do you get?,£3,£2,£4,£5,1
5,Reasoning,A lesson starts at 10:15 and lasts 45 minutes. When does it end?,11:00,10:45,11:15,11:30,1
6,Reasoning,"Which number comes next? 120, 220, 320, __",420,400,520,620,1
7,Reasoning,Ben walks 250 m in the morning and 150 m later. How far does he walk?,400 m,350 m,450 m,300 m,1
8,Reasoning,A class has 30 pupils. One-third are absent. How many are absent?,10,15,8,12,1
9,Reasoning,Which number is halfway between 40 and 60?,50,45,55,48,1
10,Reasoning,Sara has £12. She spends £5. How much is left?,£7,£6,£8,£5,1
11,Reasoning,"Which number completes the pattern? 9, 18, 27, __",36,35,45,30,1
12,Reasoning,A bus carries 42 people. 17 get off. How many remain?,25,24,26,27,1
13,Reasoning,Four packets hold 9 biscuits each. How many biscuits are there?,36,32,40,45,1
14,Reasoning,Tom saves £4 each week. How much does he save in 5 weeks?,£20,£18,£16,£24,1
15,Reasoning,Which number is closest to 500?,498,492,506,489,1
16,Reasoning,Lily reads 18 pages each day for 3 days. How many pages does she read?,54,48,60,56,1
