#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,Ben has 24 marbles. He gives away 8. How many are left?,16,15,17,18,1
2,Reasoning,There are 5 bags with 4 apples in each. How many apples are there?,20,18,16,24,1
3,Reasoning,18 sweets are shared between 3 children. How many does each child get?,6,5,7,9,1
4,Reasoning,A toy costs 25p. You pay 30p. How much change do you get?,5p,10p,15p,25p,1
5,Reasoning,School starts at 9:00. What time is one hour later?,10:00,9:30,11:00,8:00,1
6,Reasoning,"Which number comes next? 15, 20, 25, __",30,35,40,45,1
7,Reasoning,Mia has 32 stickers. She buys 7 more. How many does she have?,39,38,40,41,1
8,Reasoning,There are 40 birds. 12 fly away. How many remain?,28,26,30,32,1
9,Reasoning,"Sam counts in 10s: 30, 40, 50, __",60,70,55,65,1
10,Reasoning,A book has 50 pages. You read 20. How many are left?,30,25,20,35,1
11,Reasoning,Which number is halfway between 10 and 20?,15,14,16,12,1
12,Reasoning,Lucy has 18 pencils. She puts them into 2 equal groups. How many are in each group?,9,8,10,6,1
13,Reasoning,A bus has 14 passengers. 6 get off. How many stay on?,8,7,9,10,1
14,Reasoning,"Which number comes next? 3, 6, 9, __",12,10,15,18,1
15,Reasoning,Tom has £1. He spends 40p. How much is left?,60p,50p,40p,70p,1
16,Reasoning,There are 7 days in a week. How many days are in 2 weeks?,14,12,16,21,1
