#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,A bike costs £240. You pay £180. How much is left to pay?,£60,£50,£70,£80,1
2,Reasoning,A coach has 54 seats. Six are empty. How many are occupied?,48,46,50,44,1
3,Reasoning,Five boxes hold 36 oranges each. How many oranges are there?,180,160,190,170,1
4,Reasoning,A film starts at 6:45 p.m. and lasts 2 hours. When does it end?,8:45 p.m.,8:35 p.m.,9:45 p.m.,7:45 p.m.,1
5,Reasoning,A rope is 15 m long. One-third is cut off. How much remains?,10 m,5 m,12 m,8 m,1
6,Reasoning,A shirt costs £40. It is reduced by 25%. What is the new price?,£30,£35,£25,£20,1
7,Reasoning,"Which number completes the pattern? 5, 10, 20, 40, __",80,60,70,100,1
8,Reasoning,Sam walks 1.2 km to school and 1.2 km home. How far does he walk?,2.4 km,2.2 km,2.6 km,1.4 km,1
9,Reasoning,A recipe needs 250 g of flour. How much is needed for 4 batches?,"1,000 g",750 g,900 g,"1,250 g",1
10,Reasoning,A class reads 18 books each month. How many books are read in 6 months?,108,98,118,96,1
11,Reasoning,A tank holds 500 L. It contains 275 L. How much more will fill it?,225 L,215 L,235 L,250 L,1
12,Reasoning,A train travels 85 km each hour. How far does it travel in 4 hours?,340 km,320 km,360 km,300 km,1
13,Reasoning,Ben saves £12 each week for 8 weeks. How much does he save?,£96,£84,£92,£88,1
14,Reasoning,Three friends share £45 equally. How much does each receive?,£15,£12,£18,£10,1
15,Reasoning,A shop sells 245 toys in May and 178 in June. How many toys are sold?,423,413,433,421,1
16,Reasoning,A runner completes 12 laps. Each lap is 400 m. How far does the runner travel?,"4,800 m","4,400 m","5,200 m","4,600 m",1
