#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,Ben has 5 apples. He gets 2 more. How many apples does he have?,7,6,8,5,1
2,Reasoning,Mia has 9 balloons. 3 pop. How many are left?,6,5,7,4,1
3,Reasoning,There are 8 ducks. 2 swim away. How many stay?,6,5,7,8,1
4,Reasoning,Tom has 4 toy cars. He gets 5 more. How many has he now?,9,8,10,7,1
5,Reasoning,"Which number comes next? 3, 4, 5, __",6,7,8,9,1
6,Reasoning,Lily picks 10 flowers. She gives away 4. How many are left?,6,5,7,4,1
7,Reasoning,There are 7 birds. 1 flies away. How many are left?,6,5,7,8,1
8,Reasoning,Sam has 6 pencils. He finds 3 more. How many pencils has he now?,9,8,10,7,1
9,Reasoning,"Which number comes next? 10, 9, 8, __",7,6,9,5,1
10,Reasoning,Ava has 8 sweets. She eats 2. How many are left?,6,5,7,4,1
11,Reasoning,There are 3 cats and 2 dogs. How many animals are there?,5,4,6,3,1
12,Reasoning,Jack has 10 marbles. He loses 5. How many are left?,5,6,4,7,1
13,Reasoning,"Which number comes next? 2, 4, 6, __",8,7,10,9,1
14,Reasoning,Ella has 4 books. She buys 4 more. How many books does she have?,8,7,9,6,1
15,Reasoning,There are 9 fish. 4 swim away. How many are left?,5,6,4,3,1
16,Reasoning,Noah has 7 stickers. He gets 1 more. How many stickers has he now?,8,9,7,6,1
