#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,How long does Earth take to spin once?,One day,One week,One month,One year,1
2,Earth & Space,What causes day and night?,Earth's rotation,The Moon,Clouds,The wind,1
3,Earth & Space,Which season has the shortest nights?,Summer,Winter,Spring,Autumn,1
4,Earth & Space,What is the Sun?,A star,A planet,A moon,A comet,1
5,Earth & Space,What is the Moon?,Earth's natural satellite,A planet,A star,A comet,1
6,Earth & Space,What causes a shadow?,Light being blocked,Wind,Rain,Heat,1
7,Earth & Space,What is frozen rain called?,Hail,Fog,Dew,Mist,1
8,Earth & Space,Which weather instrument measures rainfall?,Rain gauge,Thermometer,Compass,Barometer,1
9,Earth & Space,Which weather instrument measures wind direction?,Weather vane,Thermometer,Rain gauge,Stopwatch,1
10,Earth & Space,What do dark clouds often bring?,Rain,Sunshine,Snowflakes,Rainbows,1
11,Earth & Space,What is Earth mostly covered by?,Water,Sand,Forest,Ice,1
12,Earth & Space,Which season comes after autumn?,Winter,Spring,Summer,Autumn,1
13,Earth & Space,Which weather is most likely in a storm?,Strong wind,Bright sunshine,Clear skies,Calm air,1
14,Earth & Space,What does a thermometer measure?,Temperature,Rainfall,Wind speed,Time,1
15,Earth & Space,Which planet do we live on?,Earth,Mars,Venus,Jupiter,1
16,Earth & Space,What moves around Earth?,The Moon,The Sun,Mars,Venus,1
