#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,Which force keeps the planets in orbit around the Sun?,Gravity,Magnetism,Friction,Electricity,1
2,Earth & Space,Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,1
3,Earth & Space,Which planet is known for its large rings?,Saturn,Jupiter,Mars,Neptune,1
4,Earth & Space,What causes the seasons on Earth?,Earth's tilted axis,The Moon's orbit,Earth's distance from the Sun,Clouds blocking sunlight,1
5,Earth & Space,What causes day and night?,Earth's rotation,Earth's orbit,The Moon's orbit,The Sun's movement,1
6,Earth & Space,Which planet is called the Blue Planet?,Earth,Neptune,Uranus,Venus,1
7,Earth & Space,Why does the Moon not produce its own light?,It reflects sunlight.,It is made of ice.,It only shines at night.,It stores light.,1
8,Earth & Space,What is the path of a planet around the Sun called?,Orbit,Rotation,Eclipse,Axis,1
9,Earth & Space,Which planet is the largest in the Solar System?,Jupiter,Saturn,Earth,Neptune,1
10,Earth & Space,What does Earth spin on?,Its axis,Its orbit,The Moon,The Sun,1
11,Earth & Space,Why do astronauts wear space suits?,To survive in space,To travel faster,To stay dry,To see better,1
12,Earth & Space,Which object is a natural satellite?,The Moon,The Sun,Mars,Venus,1
13,Earth & Space,What is the Sun mainly made of?,Hot gases,Rock,Ice,Metal,1
14,Earth & Space,Which planet takes the longest to orbit the Sun?,Neptune,Mars,Earth,Venus,1
15,Earth & Space,Why do different parts of Earth have different seasons?,They receive different amounts of sunlight.,The Moon changes shape.,Earth moves closer to the stars.,Clouds block the Sun.,1
16,Earth & Space,Which statement about the Sun is true?,It is a star.,It is a planet.,It is a moon.,It orbits Earth.,1
