#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,What causes one year on Earth?,Earth orbits the Sun.,Earth spins faster.,The Moon orbits Earth.,The Sun moves around Earth.,1
2,Earth & Space,How long does Earth take to orbit the Sun?,One year,One month,One week,One day,1
3,Earth & Space,Which season begins after winter?,Spring,Summer,Autumn,Winter,1
4,Earth & Space,Which season has the fewest daylight hours?,Winter,Summer,Spring,Autumn,1
5,Earth & Space,What is the main source of heat for Earth?,The Sun,The Moon,The stars,Volcanoes,1
6,Earth & Space,Which weather instrument measures wind speed?,Anemometer,Thermometer,Rain gauge,Weather vane,1
7,Earth & Space,Which weather instrument measures rainfall?,Rain gauge,Compass,Thermometer,Barometer,1
8,Earth & Space,What do weather forecasts help people do?,Plan ahead,Grow plants,Tell the time,Measure weight,1
9,Earth & Space,What usually happens to your shadow at midday?,It is shortest.,It is longest.,It disappears.,It points north.,1
10,Earth & Space,Which season is daylight usually longest?,Summer,Winter,Spring,Autumn,1
11,Earth & Space,Why do we have different seasons?,Earth is tilted as it orbits the Sun.,The Moon changes shape.,Clouds block the Sun.,Earth moves closer to the stars.,1
12,Earth & Space,Which object orbits Earth?,The Moon,The Sun,Mars,Venus,1
13,Earth & Space,What is Earth?,A planet,A star,A moon,A comet,1
14,Earth & Space,Which weather is most likely to reduce visibility?,Fog,Sunshine,Wind,Heat,1
15,Earth & Space,What is the Sun mainly made of?,Hot gases,Rock,Ice,Metal,1
16,Earth & Space,Which object is at the centre of our Solar System?,The Sun,Earth,The Moon,Jupiter,1
