#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,Which season comes before summer?,Spring,Winter,Autumn,Summer,1
2,Earth & Space,Which season comes before winter?,Autumn,Summer,Spring,Winter,1
3,Earth & Space,Which season has the shortest days?,Winter,Summer,Spring,Autumn,1
4,Earth & Space,What do plants usually do in spring?,Begin to grow,Lose all their leaves,Stop growing,Freeze,1
5,Earth & Space,Which weather is most common in winter?,Snow,Heat,Thunder,Sunshine,1
6,Earth & Space,Which weather is most common in summer?,Sunshine,Snow,Hail,Frost,1
7,Earth & Space,What does a thermometer measure?,Temperature,Wind,Rain,Time,1
8,Earth & Space,Which season is best for building a snowman?,Winter,Summer,Spring,Autumn,1
9,Earth & Space,What do we call moving air?,Wind,Rain,Fog,Cloud,1
10,Earth & Space,What falls during a thunderstorm?,Rain,Sand,Leaves,Dust,1
11,Earth & Space,What covers the Sun on a cloudy day?,Clouds,Stars,The Moon,Birds,1
12,Earth & Space,Which season do many trees lose their leaves?,Autumn,Spring,Summer,Winter,1
13,Earth & Space,What lights up the sky during a storm?,Lightning,Rainbow,Snow,Fog,1
14,Earth & Space,What usually happens to shadows at night?,They disappear.,They get longer.,They get darker.,They change colour.,1
15,Earth & Space,Which object is closest to Earth?,Moon,Sun,Mars,Jupiter,1
16,Earth & Space,Earth is a what?,Planet,Star,Moon,Comet,1
