#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,Which season comes after spring?,Summer,Autumn,Winter,Spring,1
2,Earth & Space,Which season comes after summer?,Autumn,Winter,Spring,Summer,1
3,Earth & Space,Which season is usually the coldest?,Winter,Summer,Spring,Autumn,1
4,Earth & Space,Which season has the longest days?,Summer,Winter,Autumn,Spring,1
5,Earth & Space,What gives us light during the day?,The Sun,The Moon,The stars,Clouds,1
6,Earth & Space,Which object can you see at night?,The Moon,The Sun,A rainbow,A cloud,1
7,Earth & Space,What do we usually see in the sky at night?,Stars,Rainbows,Butterflies,Trees,1
8,Earth & Space,Which weather brings water from clouds?,Rain,Wind,Sunshine,Fog,1
9,Earth & Space,Which weather is best for flying a kite?,Windy,Foggy,Snowy,Stormy,1
10,Earth & Space,Which season do leaves usually fall?,Autumn,Spring,Summer,Winter,1
11,Earth & Space,Which season do flowers usually bloom?,Spring,Winter,Autumn,Summer,1
12,Earth & Space,What falls from the sky in winter?,Snow,Sand,Leaves,Rocks,1
13,Earth & Space,What do dark clouds often bring?,Rain,Sunshine,Rainbows,Heat,1
14,Earth & Space,What comes after daytime?,Night,Morning,Spring,Summer,1
15,Earth & Space,Which season comes after winter?,Spring,Summer,Autumn,Winter,1
16,Earth & Space,Which season is usually the warmest?,Summer,Winter,Spring,Autumn,1
