#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,"What is 4,385 + 2,967?","7,352","7,252","7,452","7,342",1
2,Numbers,"What is 9,000 − 3,458?","5,542","5,552","5,442","5,642",1
3,Numbers,What is 36 × 14?,504,494,514,484,1
4,Numbers,What is 432 ÷ 18?,24,22,26,18,1
5,Numbers,What is 3/5 of 50?,30,25,35,40,1
6,Numbers,What is 40% of 80?,32,24,40,28,1
7,Numbers,Which decimal is greatest?,2.08,2.8,2.018,2.006,1
8,Numbers,What is 5.6 + 2.75?,8.35,8.25,8.45,8.15,1
9,Numbers,Find the missing number: 7 × □ = 91,13,14,12,11,1
10,Numbers,"Round 54,682 to the nearest 10,000.","50,000","60,000","55,000","40,000",1
11,Numbers,Which ratio is equal to 2:3?,8:12,6:8,4:8,10:12,1
12,Numbers,What is 0.75 × 100?,75,7.5,750,70,1
13,Numbers,Which number is a common multiple of 4 and 6?,24,18,20,16,1
14,Numbers,Solve: x + 18 = 45,27,23,25,26,1
15,Numbers,What is 5²?,25,10,20,15,1
16,Numbers,Which fraction is in its simplest form?,5/12,6/12,8/12,9/12,1
