#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,What is 4 + 3?,7,6,8,5,1
2,Numbers,What is 12 − 5?,7,6,8,9,1
3,Numbers,Which number is greater than 15?,16,14,13,12,1
4,Numbers,What number comes after 18?,19,17,20,16,1
5,Numbers,What number comes before 9?,8,10,7,11,1
6,Numbers,Which number has 1 ten and 6 ones?,16,61,15,26,1
7,Numbers,What is 9 + 6?,15,14,16,13,1
8,Numbers,What is 20 − 8?,12,11,13,10,1
9,Numbers,"Count in 2s: 2, 4, 6, __",8,7,10,9,1
10,Numbers,"Count in 5s: 5, 10, __",15,12,20,18,1
11,Numbers,"Count in 10s: 10, 20, __",30,25,40,35,1
12,Numbers,Which number is the smallest?,11,14,13,12,1
13,Numbers,What is 8 + 8?,16,15,17,14,1
14,Numbers,What is 17 − 7?,10,9,11,8,1
15,Numbers,Which pair makes 10?,6 and 4,5 and 6,7 and 4,8 and 3,1
16,Numbers,Which number is equal to twenty?,20,2,12,21,1
