#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,What is 26 + 13?,39,38,40,41,1
2,Numbers,What is 54 − 21?,33,34,32,31,1
3,Numbers,What is 4 × 6?,24,20,28,18,1
4,Numbers,What is 20 ÷ 5?,4,5,6,3,1
5,Numbers,Which number is largest?,89,79,69,86,1
6,Numbers,Which number is smallest?,34,43,54,45,1
7,Numbers,What comes after 59?,60,58,61,69,1
8,Numbers,What comes before 80?,79,81,78,70,1
9,Numbers,What is half of 16?,8,6,7,9,1
10,Numbers,What is double 14?,28,24,26,30,1
11,Numbers,"Complete the pattern: 10, 20, 30, __",40,35,50,45,1
12,Numbers,Which number is even?,46,45,47,49,1
13,Numbers,What is 35 + 40?,75,65,85,70,1
14,Numbers,What is 91 − 30?,61,51,71,60,1
15,Numbers,What number makes 18? 10 + __,8,7,9,6,1
16,Numbers,Which number has 7 tens and 2 ones?,72,27,70,82,1
