#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,What is 138 + 46?,184,174,194,182,1
2,Numbers,What is 302 − 78?,224,214,234,222,1
3,Numbers,What is 8 × 7?,56,54,64,49,1
4,Numbers,What is 72 ÷ 8?,9,8,10,12,1
5,Numbers,Which number is greatest?,908,890,809,980,1
6,Numbers,"Which number has 6 hundreds, 4 tens and 2 ones?",642,624,462,602,1
7,Numbers,What comes after 499?,500,490,501,509,1
8,Numbers,What comes before 700?,699,690,701,698,1
9,Numbers,What is one-half of 18?,9,8,10,7,1
10,Numbers,What is one-quarter of 20?,5,4,10,6,1
11,Numbers,"Complete the pattern: 125, 225, 325, __",425,400,350,525,1
12,Numbers,What is 9 × 6?,54,56,48,45,1
13,Numbers,What is 64 + 158?,222,212,232,224,1
14,Numbers,Find the missing number: 47 + __ = 80,33,23,43,30,1
15,Numbers,Which fraction is equal to one-half?,2/4,1/4,3/4,1/3,1
16,Numbers,What is 900 − 250?,650,750,550,600,1
