#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,"What is 1,246 + 358?","1,604","1,594","1,614","1,506",1
2,Numbers,"What is 2,000 − 675?","1,325","1,225","1,375","1,425",1
3,Numbers,What is 12 × 8?,96,84,88,108,1
4,Numbers,What is 84 ÷ 12?,7,6,8,9,1
5,Numbers,Which number is greatest?,"7,492","7,294","7,429","6,942",1
6,Numbers,"Which digit is in the hundreds place in 4,682?",6,4,8,2,1
7,Numbers,What is one-tenth of 90?,9,10,8,90,1
8,Numbers,Which fraction is equivalent to 1/2?,3/6,2/5,2/6,4/6,1
9,Numbers,What is 0.7 + 0.2?,0.9,0.8,1.0,0.5,1
10,Numbers,"Complete the pattern: 420, 470, 520, __",570,560,620,550,1
11,Numbers,What is 15 × 4?,60,56,64,54,1
12,Numbers,What is 144 ÷ 12?,12,11,13,14,1
13,Numbers,Find the missing number: □ + 285 = 700,415,425,515,405,1
14,Numbers,"Round 4,263 to the nearest 100.","4,300","4,200","4,000","4,400",1
15,Numbers,Which decimal is the largest?,0.8,0.7,0.5,0.6,1
16,Numbers,What is 3/4 of 20?,15,12,10,16,1
