#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Nouns,Which word names a place?,Park,Jump,Happy,Slowly,1
2,Verbs,Which word shows an action?,Climb,Ladder,Yellow,Quiet,1
3,Adjectives,Which word describes a cake?,Sweet,Cake,Eat,Slowly,1
4,Adverbs,Which word tells how Ben ran?,Quickly,Runner,Fastest,Playground,1
5,Question Marks,Which sentence needs a question mark?,Are you ready.,We are ready.,I am happy.,It is raining.,1
6,Commas,Which sentence needs a comma?,Yes please.,I like apples.,The dog barked.,We went home.,1
7,Capital Letters,Which sentence needs a capital letter?,my name is Ben.,I have a kite.,Mum is here.,It is sunny.,1
8,Word Order,Which sentence sounds right?,The frog jumped.,Frog the jumped.,Jumped the frog.,The jumped frog.,1
9,Past Tense,Which word tells about yesterday?,Played,Play,Playing,Plays,1
10,Pronouns,"Which word replaces ""Ben and Mia""?",They,He,She,It,1
11,Conjunctions,Which word joins two ideas?,Because,Garden,Sleep,Yellow,1
12,Apostrophes,Which word needs an apostrophe?,Im,Cat,School,Pencil,1
13,Exclamation Marks,Which sentence needs an exclamation mark?,Watch out.,We are home.,I have a bike.,Ben is here.,1
14,Adverbs,Which word tells when?,Tomorrow,Pencil,Laugh,Green,1
15,Sentences,Which is a complete sentence?,We made soup.,Made soup.,In the pan.,The hot soup.,1
16,Grammar,Which sentence sounds right?,They are late.,They is late.,They am late.,they are late.,1
