#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Relative Clauses,Which sentence is correct?,"The author, whose book won, smiled.","The author who's book won, smiled.","The author, who's book won smiled.","The author whose, book won smiled.",1
2,Verb Tense,Which sentence is correct?,"By noon, she had finished.","By noon, she has finished.","By noon, she had finish.","By noon, she have finished.",1
3,Modal Verbs,Which shows strongest certainty?,Must,Ought to,Could,Might,1
4,Passive Voice,Which is passive?,The bridge was repaired yesterday.,Workers repaired the bridge yesterday.,They repaired the bridge yesterday.,We repaired the bridge yesterday.,1
5,Formal Language,Which is most formal?,I would be grateful for your response.,Please get back to me.,Let me know soon.,Write back quickly.,1
6,Fronted Adverbials,Which needs a comma?,Without warning the lights failed.,The lights failed suddenly.,We left after lunch.,They arrived together.,1
7,Cohesion,Which best shows contrast?,Nevertheless,Consequently,Therefore,Furthermore,1
8,Parentheses,Which is punctuated correctly?,The winner (Ben) smiled.,The winner (Ben smiled).,The winner Ben) smiled.,The winner (Ben) smiled).,1
9,Subject Agreement,Which sentence is correct?,Neither of the answers was correct.,Neither of the answers were correct.,Neither of the answer was correct.,Neither of answers was correct.,1
10,Pronouns,Which sentence is correct?,Whoever finishes first wins.,Whomever finishes first wins.,Whoever finish first wins.,Whoever finishes first win.,1
11,Relative Pronouns,Which word fits best?,Whom,Who,Which,Whose,1
12,Punctuation,Which sentence is correct?,"""Leave now,"" whispered Ava.","""Leave now"", whispered Ava.","Leave now,"" whispered Ava.","""Leave now,"" Whispered Ava.",1
13,Verb Forms,Which sentence is correct?,"If he were here, we'd begin.","If he was here, we'd begin.","If he is here, we'd begin.","If he be here, we'd begin.",1
14,Word Choice,Which best shows a result?,Consequently,Meanwhile,Although,Whereas,1
15,Grammar,Which sentence is correct?,Scarcely had we arrived when it rained.,Scarcely we had arrived when it rained.,Scarcely had we arrived than it rained.,Scarcely had we arrive when it rained.,1
16,Grammar,Which sentence is correct?,"Not only did she sing, but she danced.","Not only she sang, but she danced.","Not only did she sang, but she danced.","Not only did she sing, but danced she.",1
