#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Capital Letters,Which sentence is correct?,The dog runs.,the dog runs.,The Dog runs.,the Dog runs.,1
2,Full Stops,Which sentence is finished?,I can jump.,I can jump,I can jump!,I can jump?,1
3,Capital Letters,Which name is correct?,Emma,emma,EMMA,emMa,1
4,Sentences,Which is a sentence?,Birds can fly.,Birds.,Can fly.,Flying birds.,1
5,Question Marks,Which asks a question?,Where is Dad?,Where is Dad.,Where is Dad!,Where is Dad,1
6,Word Order,Which sounds right?,I like milk.,Like I milk.,Milk like I.,I milk like.,1
7,Exclamation Marks,Which shows surprise?,What a mess!,What a mess.,What a mess?,what a mess!,1
8,Nouns,Which is a naming word?,Apple,Run,Happy,Quickly,1
9,Verbs,Which is a doing word?,Swim,Chair,Green,Tall,1
10,Adjectives,Which describes a bear?,Big,Bear,Run,Jump,1
11,Pronouns,"Which replaces ""Lucy""?",She,Table,Blue,Fast,1
12,Capital Letters,Which day is correct?,Friday,friday,FRIDAY,friDay,1
13,Punctuation,Which sentence is correct?,We are friends.,We are friends,we are friends.,we are friends,1
14,Word Order,Which sounds right?,The sun shines.,Sun the shines.,Shines the sun.,The shines sun.,1
15,Full Stops,Which sentence is complete?,We played.,We played,We played!,We played?,1
16,Capital Letters,Which month is correct?,April,april,APRIL,aprIl,1
