#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Relative Clauses,Which is correct?,"The boy, who won, smiled.","The boy who, won smiled.","The boy, who won smiled.","The boy who won, smiled.",1
2,Verb Tense,Which is correct?,She had already left.,She had already leave.,She has already left.,She had already leaving.,1
3,Modal Verbs,Which best shows certainty?,must,might,could,may,1
4,Parentheses,Which is correct?,Ben (our captain) scored.,Ben our (captain scored).,Ben (our captain scored).,Ben our captain (scored).,1
5,Formal Language,Which is most formal?,I would appreciate your reply.,Please write back.,Let me know.,Get back to me.,1
6,Fronted Adverbials,Which needs a comma?,Before sunrise we left.,Yesterday we played.,At last we won.,Suddenly we stopped.,1
7,Subject Agreement,Which is correct?,Neither answer was correct.,Neither answers were correct.,Neither answer were correct.,Neither answers was correct.,1
8,Relative Pronouns,Which fits best?,whose,who's,whom,which,1
9,Passive Voice,Which is passive?,The cake was baked.,Mum baked the cake.,Ben baked cakes.,They baked bread.,1
10,Cohesion,Which links a result?,Therefore,Although,Meanwhile,Unless,1
11,Verb Forms,Which is correct?,She has written it.,She has wrote it.,She have written it.,She has write it.,1
12,Apostrophes,Which is correct?,The teachers' room,The teacher's room,The teachers room,The teachers's room,1
13,Pronouns,Which is correct?,Everybody brought their bag.,Everybody brought his bag.,Everybody brought them bag.,Everybody brought our bag.,1
14,Speech,Which is correct?,"""Wait here,"" said Mum.","""Wait here"", said Mum.","Wait here,"" said Mum.","""Wait here,"" Said Mum.",1
15,Word Choice,Which fits best?,Consequently,However,Meanwhile,Otherwise,1
16,Grammar,Which sentence is correct?,Hardly anyone noticed.,Hardly anyone notice.,Hardly anyone noticing.,Hardly anyone have noticed.,1
