#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Tenses,Which is past perfect?,Had eaten,Ate,Was eating,Eats,1
2,Relative Clauses,Which word starts a relative clause?,Which,And,But,So,1
3,Fronted Adverbials,Which starts with a fronted adverbial?,"Before lunch, we ran.",We ran before lunch.,We before lunch ran.,Before we ran lunch.,1
4,Apostrophes,Which is plural possession?,Players' boots,Player's boots,Players boots,Players's boots,1
5,Determiners,Which is a determiner?,Several,Run,Quickly,Bright,1
6,Pronouns,Which is a possessive pronoun?,Theirs,Them,They,Their,1
7,Conjunctions,Which joins unequal ideas?,Although,And,Or,Nor,1
8,Word Classes,Which word is a preposition?,Beneath,Laugh,Loud,Quickly,1
9,Punctuation,Which needs a colon?,"You need: pens, rulers and paper.","You need pens, rulers and paper.","You need, pens, rulers and paper.",You need pens: rulers and paper.,1
10,Tenses,Which is future tense?,Will travel,Travels,Travelled,Travelling,1
11,Relative Clauses,Which sentence has a relative clause?,"The boy, who smiled, waved.",The boy smiled.,The smiling boy waved.,The boy waved quickly.,1
12,Parentheses,Which uses brackets correctly?,Ben (our captain) scored.,Ben our (captain) scored.,Ben (our captain scored.,Ben our captain) scored.,1
13,Adverbs,Which modifies a verb?,Carefully,Careful,Care,Carer,1
14,Modal Verbs,Which word shows possibility?,Might,Runs,Running,Ran,1
15,Grammar,Which sentence is correct?,Neither was late.,Neither were late.,Neither are late.,Neither be late.,1
16,Cohesion,Which word links ideas?,Therefore,Rabbit,Beautiful,Jump,1
